Size_KB,Pattern,Stride_B,Run,Accesses,MeanLatency_ns,GBps
131072,random,64,18,8388608,5.24114,2.84312
131072,random,64,19,8388608,5.25614,2.835
131072,random,64,20,8388608,5.46415,2.72708
131072,sequential,256,1,2097152,5.7435,2.59444
131072,sequential,256,2,2097152,5.02731,2.96404
131072,sequential,256,3,2097152,5.12338,2.90846
131072,sequential,256,4,2097152,5.24078,2.84331
131072,sequential,256,5,2097152,5.0566,2.94687
131072,sequential,256,6,2097152,5.03542,2.95927
131072,sequential,256,7,2097152,5.09314,2.92573
131072,sequential,256,8,2097152,5.11924,2.91081
131072,sequential,256,9,2097152,5.11944,2.9107
131072,sequential,256,10,2097152,5.07849,2.93417
131072,sequential,256,11,2097152,4.91569,3.03134
131072,sequential,256,12,2097152,4.97651,2.9943
131072,sequential,256,13,2097152,4.9537,3.00809
131072,sequential,256,14,2097152,4.96523,3.0011
131072,sequential,256,15,2097152,4.99862,2.98105
131072,sequential,256,16,2097152,4.88442,3.05075
131072,sequential,256,17,2097152,4.98829,2.98723
131072,sequential,256,18,2097152,5.01074,2.97384
131072,sequential,256,19,2097152,4.91681,3.03066
131072,sequential,256,20,2097152,4.95388,3.00798
131072,random,256,1,2097152,5.14354,2.89706
131072,random,256,2,2097152,5.31705,2.80252
131072,random,256,3,2097152,5.26758,2.82884
131072,random,256,4,2097152,5.18739,2.87257
131072,random,256,5,2097152,5.22349,2.85272
131072,random,256,6,2097152,5.2076,2.86143
131072,random,256,7,2097152,5.25959,2.83314
131072,random,256,8,2097152,5.20817,2.86111
131072,random,256,9,2097152,5.2079,2.86126
131072,random,256,10,2097152,5.29655,2.81337
131072,random,256,11,2097152,5.20313,2.86389
131072,random,256,12,2097152,5.21032,2.85993
131072,random,256,13,2097152,5.17259,2.88079
131072,random,256,14,2097152,5.22379,2.85256
131072,random,256,15,2097152,5.08992,2.92758
131072,random,256,16,2097152,5.16687,2.88398
131072,random,256,17,2097152,5.15691,2.88955
131072,random,256,18,2097152,5.10828,2.91706
131072,random,256,19,2097152,5.12179,2.90937
131072,random,256,20,2097152,5.15753,2.8892
131072,sequential,1024,1,524288,4.28979,3.47364
131072,sequential,1024,2,524288,4.37808,3.40358
131072,sequential,1024,3,524288,4.53059,3.28901
131072,sequential,1024,4,524288,4.27119,3.48876
131072,sequential,1024,5,524288,4.29924,3.466
131072,sequential,1024,6,524288,4.72132,3.15614
131072,sequential,1024,7,524288,4.28049,3.48118
131072,sequential,1024,8,524288,4.27405,3.48643
131072,sequential,1024,9,524288,4.3687,3.41089
131072,sequential,1024,10,524288,4.52614,3.29225
131072,sequential,1024,11,524288,4.38245,3.40019
131072,sequential,1024,12,524288,4.35185,3.42409
131072,sequential,1024,13,524288,4.54601,3.27786
131072,sequential,1024,14,524288,4.26658,3.49253
