Size_KB,Run,Latency_ns,Bandwidth_GBps
16384,34,1.25392,47.5345
16384,35,1.2536,47.5466
16384,36,1.2544,47.5165
16384,37,1.25154,47.6251
16384,38,1.25345,47.5526
16384,39,1.26076,47.2769
16384,40,1.24884,47.7281
32768,1,1.26274,47.2025
32768,2,1.21967,48.8695
32768,3,1.19082,50.0534
32768,4,1.18359,50.3592
32768,5,1.19766,49.7678
32768,6,1.1785,50.5766
32768,7,1.17834,50.5834
32768,8,1.17405,50.7683
32768,9,1.11874,53.2784
32768,10,1.12271,53.0898
32768,11,1.11993,53.2217
32768,12,1.12557,52.9549
32768,13,1.1247,52.996
32768,14,1.12454,53.0035
32768,15,1.14624,52.0003
32768,16,1.13996,52.2867
32768,17,1.13217,52.6464
32768,18,1.12279,53.0861
32768,19,1.07479,55.457
32768,20,1.08067,55.1552
32768,21,1.0879,54.7885
32768,22,1.08083,55.1471
32768,23,1.0848,54.9451
32768,24,1.08131,55.1227
32768,25,1.08298,55.0378
32768,26,1.08798,54.7845
32768,27,1.08306,55.0338
32768,28,1.07892,55.2445
32768,29,1.06629,55.8992
32768,30,1.05532,56.4802
32768,31,1.06422,56.0078
32768,32,1.06915,55.7496
32768,33,1.06239,56.1041
32768,34,1.04968,56.7838
32768,35,1.05143,56.6893
32768,36,1.05127,56.6979
32768,37,1.04411,57.0863
32768,38,1.05135,56.6936
32768,39,1.06581,55.9242
32768,40,1.02329,58.2479
65536,1,1.14131,52.2248
65536,2,1.00462,59.3307
65536,3,1.0012,59.5333
65536,4,1.02301,58.2637
65536,5,1.0105,58.9855
65536,6,0.992815,60.036
65536,7,0.992338,60.0649
65536,8,0.995517,59.8731
65536,9,0.993927,59.9688
65536,10,0.997186,59.7729
65536,11,1.00346,59.3989
65536,12,1.02854,57.9509
65536,13,1.00021,59.5924
65536,14,0.981728,60.714
65536,15,0.985662,60.4717
65536,16,1.00938,59.0505
65536,17,0.989318,60.2482
65536,18,1.02019,58.4249
65536,19,0.983516,60.6036
65536,20,0.988245,60.3136
65536,21,0.990629,60.1685
65536,22,0.989517,60.2361
65536,23,0.987093,60.384
65536,24,0.987848,60.3379
65536,25,0.983636,60.5963
65536,26,0.98749,60.3597
65536,27,0.986934,60.3938
65536,28,0.987212,60.3768
65536,29,0.987808,60.3403
65536,30,0.992537,60.0528
65536,31,0.986616,60.4132
65536,32,0.987013,60.3889
65536,33,0.983596,60.5987
65536,34,0.987013,60.3889
65536,35,0.987053,60.3865
65536,36,0.98745,60.3622
65536,37,1.00283,59.4365
65536,38,0.988762,60.2821
65536,39,0.98602,60.4497
65536,40,0.99345,59.9976
131072,1,1.09933,54.2192
131072,2,1.02295,58.2671
131072,3,1.00708,59.1856
131072,4,1.00591,59.2546
131072,5,1.00797,59.1331
131072,6,1.00859,59.097
131072,7,1.00972,59.0307
131072,8,1.00229,59.4684
131072,9,0.99949,59.635
131072,10,0.997106,59.7776
131072,11,0.997265,59.7681
131072,12,1.03372,57.6602
131072,13,1.01431,58.7636
131072,14,0.998954,59.6671
131072,15,1.00766,59.1518
131072,16,1.01572,58.682
131072,17,1.03255,57.7256
131072,18,0.997146,59.7752
131072,19,1.00112,59.538
131072,20,0.998934,59.6682
131072,21,1.00422,59.3542
131072,22,1.02701,58.0372
131072,23,0.999153,59.6552
131072,24,1.01078,58.9692
131072,25,0.99798,59.7253
131072,26,1.00066,59.5652
131072,27,1.0014,59.5214
131072,28,0.998398,59.7003
131072,29,0.999014,59.6635
131072,30,1.00106,59.5415
131072,31,0.997682,59.7431
131072,32,0.997941,59.7276
131072,33,1.03591,57.5385
131072,34,0.998358,59.7027
131072,35,1.01684,58.6178
131072,36,1.00795,59.1343
131072,37,1.01797,58.5526
131072,38,1.00774,59.1471
131072,39,1.0189,58.4989
131072,40,1.00303,59.4248
262144,1,1.07193,55.605
262144,2,1.05513,56.4903
262144,3,1.00802,59.1302
